temperature,Q,Qdif,Qtwice_dif
1000.0,1218.2957040302683,2215.3304529457,7030.502978383879
1001.0,1220.5123348534669,2220.1495744930453,7048.044970130931
1002.0,1222.7315682150352,2224.9766011019738,7065.621216478811
1003.0,1224.9534068134574,2229.8115433054145,7083.231767459429
1004.0,1227.1778533497043,2234.6544116441073,7100.876673138969
1005.0,1229.4049105270517,2239.505216666486,7118.555983619522
1006.0,1231.6345810513394,2244.363968929298,7136.269749037884
1007.0,1233.8668676308482,2249.2306789966715,7154.018019566365
1008.0,1236.101772976158,2254.105357440927,7171.800845412335
1009.0,1238.339299800368,2258.9880148420816,7189.618276818779
1010.0,1240.579450818942,2263.8786617880987,7207.470364064045
1011.0,1242.8222287498966,2268.777308874886,7225.3571574610505
1012.0,1245.0676363134057,2273.6839667059608,7243.278707359465
1013.0,1247.31567623237,2278.5986458928587,7261.235064143391
1014.0,1249.5663512318717,2283.5213570549868,7279.226278232696
1015.0,1251.8196640394979,2288.4521108195104,7297.2524000829235
1016.0,1254.0756173852674,2293.390917821481,7315.313480184808
1017.0,1256.334214001537,2298.337788703782,7333.409569065056
1018.0,1258.595456623141,2303.2927341171476,7351.540717285547
1019.0,1260.859347987278,2308.2557647199833,7369.706975444242
1020.0,1263.1258908335515,2313.2268911787037,7387.9083941749595
1021.0,1265.3950879039821,2318.2061241675665,7406.145024146381
1022.0,1267.6669419429886,2323.1934743684296,7424.416916063501
1023.0,1269.941455697448,2328.188952471224,7442.724120667429
1024.0,1272.2186319164125,2333.192569173541,7461.066688734543
1025.0,1274.4984733516958,2338.204335180851,7479.444671077322
1026.0,1276.7809827571036,2343.2242612061405,7497.858118544211
1027.0,1279.0661628891937,2348.252357970859,7516.30708201924
1028.0,1281.3540165066368,2353.288636203493,7534.791612422614
1029.0,1283.6445463706812,2358.3331066409282,7553.311760710871
1030.0,1285.9377552448802,2363.3857800274786,7571.867577876299
1031.0,1288.2336458950517,2368.4466671153964,7590.459114947376
1032.0,1290.5322210896295,2373.5157786645677,7609.086422988097
1033.0,1292.833483599375,2378.5931254429493,7627.749553099841
1034.0,1295.1374361972887,2383.6787182260045,7646.448556419115
1035.0,1297.4440816588087,2388.7725677972794,7665.183484119051
1036.0,1299.7534227618992,2393.8746849476865,7683.954387409294
1037.0,1302.0654622866473,2398.9850804762523,7702.761317535278
1038.0,1304.3802030157033,2404.1037651897086,7721.604325779261
1039.0,1306.6976477340352,2409.230749902362,7740.483463459419
1040.0,1309.0177992289407,2414.366045436667,7759.398781931194
1041.0,1311.3406602901493,2419.5096626223562,7778.350332585328
1042.0,1313.6662337097034,2424.6616122972864,7797.33816685008
1043.0,1315.9945222821004,2429.8219053069806,7816.362336189481
1044.0,1318.325528804042,2434.990552504785,7835.422892105034
1045.0,1320.6592560747642,2440.167564751632,7854.51988613404
1046.0,1322.9957068957,2445.352952916224,7873.6533698508065
1047.0,1325.334884070779,2450.5467278754,7892.82339486652
1048.0,1327.6767904062087,2455.748900513149,7912.03001282893
1049.0,1330.0214287106367,2460.959481721639,7931.273275422301
1050.0,1332.3688017948896,2466.1784824007336,7950.55323436814
1051.0,1334.7189124723934,2471.4059134578847,7969.869941424945
1052.0,1337.0717635586516,2476.641785808189,7989.223448387671
1053.0,1339.427357871859,2481.8861103749487,8008.61380708832
1054.0,1341.7856982321405,2487.1388980888164,8028.041069396175
1055.0,1344.1467874622365,2492.4001598882714,8047.505287217091
1056.0,1346.51062838722,2497.6699067195777,8067.006512494433
1057.0,1348.8772238344745,2502.9481495366213,8086.544797208623
1058.0,1351.2465766336525,2508.2348993012447,8106.120193377015
1059.0,1353.618689616882,2513.5301669828173,8125.73275305455
1060.0,1355.9935656184787,2518.8339635585044,8145.3825283326505
1061.0,1358.37120747521,2524.146300013241,8165.0695713408095
1062.0,1360.751618026147,2529.4671873395337,8184.793934245602
1063.0,1363.1348001126303,2534.7966365379834,8204.555669250205
1064.0,1365.52075657846,2540.1346586165096,8224.354828597052
1065.0,1367.909490269656,2545.4812645908773,8244.191464564547
1066.0,1370.3010040345787,2550.8364654847505,8264.065629469096
1067.0,1372.6953007239981,2556.2002723292476,8283.977375663353
1068.0,1375.0923831908751,2561.5726961633786,8303.926755540588
1069.0,1377.4922542906907,2566.9537480340014,8323.913821528198
1070.0,1379.8949168810655,2572.3434389954614,8343.938626093548
1071.0,1382.3003738220168,2577.7417801098327,8364.001221740848
1072.0,1384.7086279758157,2583.1487824470087,8384.10166101198
1073.0,1387.1196822071863,2588.564457084553,8404.239996487004
1074.0,1389.5335393830617,2593.9888151077453,8424.416280784479
1075.0,1391.950202372707,2599.4218676097394,8444.630566558752
1076.0,1394.3696740478244,2604.863625691085,8464.882906503835
1077.0,1396.7919572821856,2610.314100460308,8485.173353351604
1078.0,1399.217054952111,2615.7733030335853,8505.501959871091
1079.0,1401.6449699360064,2621.241244534694,8525.868778870301
1080.0,1404.075705114899,2626.7179360954588,8546.273863195247
1081.0,1406.509263371738,2632.2033888548904,8566.71726572924
1082.0,1408.9456475920483,2637.6976139602116,8587.199039393954
1083.0,1411.3848606636088,2643.2006225659084,8607.719237150824
1084.0,1413.8269054764853,2648.712425834671,8628.27791199757
1085.0,1416.2717849229916,2654.2330349367066,8648.875116970765
1086.0,1418.7195018978628,2659.762461049621,8669.510905146239
1087.0,1421.1700592979423,2665.3007153591057,8690.1853296379
1088.0,1423.6234600226494,2670.8478090585336,8710.898443596978
1089.0,1426.0797069733735,2676.403753348784,8731.650300214658
1090.0,1428.538803054051,2681.968559438687,8752.44095272018
1091.0,1431.0007511707795,2687.542238544517,8773.270454381118
1092.0,1433.4655542320384,2693.1248018904703,8794.138858503416
1093.0,1435.9332151485141,2698.7162607084633,8815.046218432466
1094.0,1438.4037368332827,2704.316626237961,8835.992587552544
1095.0,1440.8771222015391,2709.9259097263075,8856.978019285418
1096.0,1443.353374170986,2715.544122428496,8878.002567092355
1097.0,1445.8324956614067,2721.171275607027,8899.06628447442
1098.0,1448.3144895949954,2726.8073805327535,8920.16922497017
1099.0,1450.7993588962809,2732.452448483435,8941.311442157541
1100.0,1453.2871064917656,2738.1064907448645,8962.492989653474
1101.0,1455.777735310654,2743.7695186108313,8983.71392111493
1102.0,1458.2712482841112,2749.4415433824793,9004.974290236216
1103.0,1460.7676483458115,2755.122576368841,9026.27415075218
1104.0,1463.2669384315252,2760.81262888661,9047.613556436178
1105.0,1465.7691214793629,2766.5117122601296,9068.992561100426
1106.0,1468.2742004297427,2772.2198378215794,9090.411218597614
1107.0,1470.78217822522,2777.937016910819,9111.869582819256
1108.0,1473.293057810842,2783.6632608753303,9133.367707694795
1109.0,1475.8068421337546,2789.398581070525,9154.905647194946
1110.0,1478.3235341434743,2795.1429888593943,9176.483455329611
1111.0,1480.8431367916673,2800.896495612562,9198.101186147233
1112.0,1483.365653032371,2806.659112708505,9219.758893736473
1113.0,1485.8910858218749,2812.430851533364,9241.45663222575
1114.0,1488.4194381187128,2818.211723481182,9263.194455782765
1115.0,1490.950712883701,2824.001739953404,9284.972418614203
1116.0,1493.484913079846,2829.800912359403,9306.790574968578
1117.0,1496.022041672431,2835.609252116357,9328.648979131367
1118.0,1498.5621016290906,2841.4267706490186,9350.547685430798
1119.0,1501.1050959197578,2847.253479389767,9372.486748232177
1120.0,1503.651027516347,2853.089389778929,9394.466221943203
1121.0,1506.1998993932614,2858.9345132645144,9416.486161009238
1122.0,1508.7517145272166,2864.7888613022014,9438.54661991743
1123.0,1511.306475896909,2870.6524453555376,9460.647653194068
1124.0,1513.8641864835997,2876.5252768955525,9482.789315405913
1125.0,1516.424849270605,2882.407367401231,9504.971661159932
1126.0,1518.9884672434696,2888.2987283591374,9527.194745102981
1127.0,1521.555043390111,2894.199371263913,9549.458621921725
1128.0,1524.1245807006433,2900.1093076172892,9571.763346344145
1129.0,1526.6970821674095,2906.028548929371,9594.108973137923
1130.0,1529.2725507849952,2911.9571067177862,9616.495557111359
1131.0,1531.8509895503007,2917.89499250778,9638.92315311252
1132.0,1534.4324014623674,2923.8422178324163,9661.391816030775
1133.0,1537.0167895225254,2929.798794232724,9683.901600795798
1134.0,1539.604156734427,2935.764733257095,9706.452562377579
1135.0,1542.1945061037702,2941.740046462087,9729.044755786603
1136.0,1544.7878406386897,2947.724745411544,9751.678236075095
1137.0,1547.3841633494967,2953.7188416774834,9774.353058334229
1138.0,1549.9834772487086,2959.722346839607,9797.06927769681
1139.0,1552.5857853509783,2965.7352724848456,9819.826949336348
1140.0,1555.191090673472,2971.7576302086736,9842.62612846868
1141.0,1557.799396235317,2977.7894316139596,9865.466870347178
1142.0,1560.410705058059,2983.8306883111727,9888.349230268535
1143.0,1563.0250201653375,2989.8814119188523,9911.273263570742
1144.0,1565.6423445831324,2995.9416140631024,9934.23902563185
1145.0,1568.2626813395532,3002.0113063778094,9957.24657187091
1146.0,1570.886033465028,3008.090500504773,9980.295957747901
1147.0,1573.5124039921957,3014.179208093516,10003.387238764835
1148.0,1576.1417959558141,3020.27744080107,10026.520470464427
1149.0,1578.7742123930755,3026.385210292664,10049.695708431444
1150.0,1581.409656343147,3032.502528241105,10072.913008289903
1151.0,1584.0481308476064,3038.6294063267587,10096.172425707127
1152.0,1586.6896389503208,3044.765856238352,10119.474016391281
1153.0,1589.3341836970862,3050.9118896716263,10142.81783609146
1154.0,1591.9817681361917,3057.0675183306066,10166.203940598616
1155.0,1594.6323953179942,3063.2327539274033,10189.632385745761
1156.0,1597.2860682951057,3069.40760818107,10213.10322740696
1157.0,1599.9427901224137,3075.592092819168,10236.616521497022
1158.0,1602.6025638569618,3081.786219576675,10260.172323974659
1159.0,1605.2653925580091,3087.9900001966244,10283.770690838493
1160.0,1607.9312792870965,3094.203446429667,10307.411678128685
1161.0,1610.6002271079424,3100.426570034208,10331.09534192852
1162.0,1613.2722390864726,3106.659382776768,10354.821738362596
1163.0,1615.9473182907443,3112.9018964311504,10378.590923597356
1164.0,1618.6254677911381,3119.1541227795565,10402.402953840941
1165.0,1621.306690660259,3125.4160736116955,10426.257885343552
1166.0,1623.9909899728164,3131.6877607250194,10450.155774398052
1167.0,1626.6783688058936,3137.9691959248976,10474.096677339
1168.0,1629.3688302385585,3144.26039102473,10498.080650542508
1169.0,1632.0623773522825,3150.5613578452626,10522.107750427833
1170.0,1634.7590132306493,3156.8721082154743,10546.178033455624
1171.0,1637.4587409593944,3163.192653972055,10570.291556129583
1172.0,1640.1615636266363,3169.5230069593385,10594.448374994912
1173.0,1642.867484322506,3175.8631790299514,10618.648546640034
1174.0,1645.5765061395457,3182.2131820439495,10642.892127695506
1175.0,1648.288632172263,3188.573027869155,10667.179174833203
1176.0,1651.0038655174906,3194.94272838174,10691.509744769855
1177.0,1653.7222092743184,3201.322295465103,10715.883894262492
1178.0,1656.4436665438996,3207.7117410108617,10740.301680110977
1179.0,1659.168240429712,3214.111076918658,10764.763159160133
1180.0,1661.8959340373192,3220.5203150953926,10789.268388294595
1181.0,1664.6267504746902,3226.9394674563423,10813.817424443321
1182.0,1667.3606928516913,3233.3685459244653,10838.4103245775
1183.0,1670.0977642804373,3239.8075624306725,10863.047145712146
1184.0,1672.8379678757099,3246.2565289134895,10887.727944902063
1185.0,1675.581306753719,3252.7154573195294,10912.452779249641
1186.0,1678.3277840335008,3259.1843596032572,10937.221705897064
1187.0,1681.0774028359501,3265.6632477269422,10962.034782029308
1188.0,1683.8301662842512,3272.152133660795,10986.892064876172
1189.0,1686.5860775037756,3278.6510293829306,11011.793611710147
1190.0,1689.3451396221506,3285.159946879276,11036.739479845019
1191.0,1692.1073557690133,3291.678898143526,11061.729726641208
1192.0,1694.8727290764211,3298.2078951774774,11086.764409498892
1193.0,1697.641262678565,3304.746949990907,11111.84358586273
1194.0,1700.4129597115293,3311.2960746009608,11136.967313222693
1195.0,1703.187823314057,3317.855281033362,11162.135649108239
1196.0,1705.9658566266933,3324.4245813214425,11187.348651096272
1197.0,1708.747062792356,3331.0039875063526,11212.606376804177
1198.0,1711.5314449561413,3337.593511637015,11237.908883894537
1199.0,1714.3190062652616,3344.1931657708633,11263.256230072406
1200.0,1717.1097498691402,3350.80296197237,11288.648473087813
1201.0,1719.9036789194447,3357.4229123149084,11314.085670732486
1202.0,1722.700796569934,3364.0530288789737,11339.567880843897
1203.0,1725.501105976611,3370.693323753409,11365.095161301459
1204.0,1728.3046102975843,3377.34380903467,11390.667570030202
1205.0,1731.1113126933144,3384.0044968278685,11416.285164996847
1206.0,1733.9212163262034,3390.6753992448093,11441.94800421444
1207.0,1736.7343243609594,3397.3565284064384,11467.656145737341
1208.0,1739.5506399644878,3404.0478964410986,11493.409647665561
1209.0,1742.3701663058753,3410.749515484946,11519.208568143338
1210.0,1745.192906556303,3417.461397682636,11545.052965357618
1211.0,1748.0188638892014,3424.183555186179,11570.942897540384
1212.0,1750.8480414800904,3430.9160001558553,11596.878422967868
1213.0,1753.6804425067423,3437.6587447597435,11622.859599959418
1214.0,1756.5160701493098,3444.4118011742457,11648.886486880303
1215.0,1759.3549275896821,3451.1751815831226,11674.959142138572
1216.0,1762.1970180120748,3457.9488981788304,11701.07762418693
1217.0,1765.0423446031557,3464.7329631610614,11727.24199152288
1218.0,1767.8909105513335,3471.5273887380326,11753.452302688615
1219.0,1770.742719047677,3478.3321871258877,11779.708616269405
1220.0,1773.597773284933,3485.147370548519,11806.010990897003
1221.0,1776.4560764582982,3491.972951237954,11832.359485245506
1222.0,1779.3176317650755,3498.8089414341407,11858.754158035377
1223.0,1782.182442404793,3505.655353385126,11885.195068030554
1224.0,1785.0505115790556,3512.512199346953,11911.68227404099
1225.0,1787.921842491685,3519.379491583497,11938.215834919769
1226.0,1790.7964383485871,3526.257242366745,11964.795809565734
1227.0,1793.6743023581537,3533.1454639769954,11991.422256921907
1228.0,1796.5554377304527,3540.0441687020284,12018.095235977253
1229.0,1799.439847678034,3546.9533688381493,12044.814805764534
1230.0,1802.327535415652,3553.8730766891294,12071.581025361605
1231.0,1805.218504159995,3560.803304567315,12098.393953892384
1232.0,1808.1127571300808,3567.744064792776,12125.253650523895
1233.0,1811.0102975470663,3574.69536969386,12152.160174470566
1234.0,1813.9111286342688,3581.657231606653,12179.113584989638
1235.0,1816.8152536171558,3588.629662875302,12206.113941385498
1236.0,1819.7226757232445,3595.612675852568,12233.161303005749
1237.0,1822.6333981824928,3602.606282898382,12260.25572924527
1238.0,1825.547424226869,3609.6104963815137,12287.397279543497
1239.0,1828.464757090361,3616.6253286781057,12314.58601338417
1240.0,1831.3854000092715,3623.6507921731354,12341.82199029765
1241.0,1834.309356222087,3630.6868992589016,12369.1052698594
1242.0,1837.2366289693898,3637.73366233635,12396.43591169013
1243.0,1840.1672214939254,3644.791093814138,12423.813975456898
1244.0,1843.1011370406504,3651.859206109209,12451.23952087004
1245.0,1846.0383788565719,3658.938011646529,12478.712607688947
1246.0,1848.9789501910395,3666.0275228588694,12506.233295715372
1247.0,1851.9228542953056,3673.1277521879147,12533.801644799478
1248.0,1854.8700944230145,3680.2387120825547,12561.417714834744
1249.0,1857.8206738297795,3687.360415000043,12589.08156576178
1250.0,1860.7745957735665,3694.4928734059563,12616.793257567606
1251.0,1863.731863514312,3701.6360997738425,12644.552850283639
1252.0,1866.6924803142383,3708.790106585425,12672.36040398773
1253.0,1869.656449437601,3715.9549063306126,12700.21597880429
1254.0,1872.6237741509276,3723.130511507008,12728.119634902758
1255.0,1875.594457722898,3730.31693462078,12756.071432499093
1256.0,1878.5685034242804,3737.514188186296,12784.071431855224
1257.0,1881.545914527939,3744.7222847257704,12812.119693280223
1258.0,1884.526694309083,3751.941236769541,12840.21627712737
1259.0,1887.510846044891,3759.1710568562617,12868.361243797512
1260.0,1890.4983730147276,3766.4117575329324,12896.554653737188
1261.0,1893.4892785002785,3773.6633513540883,12924.79656743978
1262.0,1896.4835657851436,3780.9258508829644,12953.087045444747
1263.0,1899.4812381551747,3788.1992686908425,12981.426148337512
1264.0,1902.4822988984295,3795.4836173571143,13009.813936750352
1265.0,1905.4867513050824,3802.7789094694144,13038.250471361696
1266.0,1908.4945986674263,3810.085157623403,13066.735812896983
1267.0,1911.5058442798327,3817.4023744229016,13095.270022128236
1268.0,1914.5204914389647,3824.7305724802136,13123.853159873128
1269.0,1917.5385434436878,3832.0697644156635,13152.485286996673
1270.0,1920.56000359468,3839.4199628575543,13181.166464410571
1271.0,1923.5848751951983,3846.7811804426246,13209.896753072875
1272.0,1926.6131615503132,3854.153429816036,13238.676213988816
1273.0,1929.644865967517,3861.5367236305897,13267.504908210416
1274.0,1932.679991756197,3868.9310745477906,13296.382896836109
1275.0,1935.7185422279938,3876.3364952371,13325.310241011655
1276.0,1938.760520696813,3883.75299837625,13354.287001929304
1277.0,1941.8059304785381,3891.18059665124,13383.31324082883
1278.0,1944.8547748911508,3898.6193027565632,13412.38901899686
1279.0,1947.9070572550681,3906.069129394228,13441.51439776592
1280.0,1950.9627808925397,3913.5300892753276,13470.689438517666
1281.0,1954.0219491280614,3921.002195118553,13499.914202679323
1282.0,1957.0845652884445,3928.4854596510795,13529.188751726071
1283.0,1960.1506327024206,3935.9798956085506,13558.513147180174
1284.0,1963.2201547009024,3943.48551573432,13587.887450610277
