temperature,heat_capacity
200.0,33.32565526321322
201.0,33.32920651170891
202.0,33.3326132658167
203.0,33.335883391441534
204.0,33.33902446926022
205.0,33.34204380496164
206.0,33.34494843909355
207.0,33.347745156532014
208.0,33.350440495589474
209.0,33.35304075677648
210.0,33.355552011231445
211.0,33.3579801088321
212.0,33.36033068600173
213.0,33.36260917322265
214.0,33.36482080226919
215.0,33.366970613171056
216.0,33.36906346091836
217.0,33.371104021918725
218.0,33.373096800216295
219.0,33.37504613348215
220.0,33.376956198785464
221.0,33.37883101815387
222.0,33.380674463931506
223.0,33.382490263942756
224.0,33.38428200646912
225.0,33.386053145046844
226.0,33.38780700309191
227.0,33.38954677835954
228.0,33.39127554724419
229.0,33.392996268926446
230.0,33.39471178937273
231.0,33.39642484519323
232.0,33.398138067363774
233.0,33.39985398481652
234.0,33.401575027904556
235.0,33.403303531745415
236.0,33.40504173944757
237.0,33.40679180522475
238.0,33.408555797402066
239.0,33.41033570131795
240.0,33.412133422125905
241.0,33.41395078749973
242.0,33.41578955024566
243.0,33.41765139082513
244.0,33.419537919791026
245.0,33.4214506801411
246.0,33.42339114959107
247.0,33.42536074277067
248.0,33.42736081334527
249.0,33.429392656065794
250.0,33.43145750874962
251.0,33.433556554194645
252.0,33.435690922029394
253.0,33.437861690500846
254.0,33.44006988820282
255.0,33.44231649574643
256.0,33.444602447375246
257.0,33.44692863252656
258.0,33.449295897341024
259.0,33.451705046122434
260.0,33.45415684274913
261.0,33.456652012039015
262.0,33.45919124106973
263.0,33.461775180455305
264.0,33.464404445581174
265.0,33.467079617798674
266.0,33.46980124558061
267.0,33.47256984563907
268.0,33.47538590400692
269.0,33.47824987708415
270.0,33.48116219265032
271.0,33.48412325084404
272.0,33.487133425111054
273.0,33.490193063121424
274.0,33.49330248765735
275.0,33.49646199747227
276.0,33.49967186812235
277.0,33.5029323527714
278.0,33.50624368296977
279.0,33.50960606940842
280.0,33.51301970264883
281.0,33.51648475382963
282.0,33.52000137535053
283.0,33.52356970153462
284.0,33.52718984926944
285.0,33.530861918627686
286.0,33.53458599346821
287.0,33.53836214201785
288.0,33.542190417434874
289.0,33.54607085835448
290.0,33.55000348941711
291.0,33.55398832177986
292.0,33.558025353611924
293.0,33.562114570574145
294.0,33.56625594628358
295.0,33.57044944276329
296.0,33.57469501087794
297.0,33.578992590755675
298.0,33.58334211219669
299.0,33.5877434950688
300.0,33.59219664969071
301.0,33.59670147720309
302.0,33.60125786992791
303.0,33.60586571171657
304.0,33.61052487828695
305.0,33.615235237549925
306.0,33.61999664992544
307.0,33.624808968648814
308.0,33.62967204006723
309.0,33.63458570392692
310.0,33.63954979365133
311.0,33.64456413661039
312.0,33.64962855438145
313.0,33.65474286300179
314.0,33.65990687321329
315.0,33.66512039069925
316.0,33.67038321631379
317.0,33.675695146303944
318.0,33.68105597252473
319.0,33.68646548264735
320.0,33.691923460360826
321.0,33.697429685567194
322.0,33.70298393457052
323.0,33.708585980259784
324.0,33.71423559228605
325.0,33.71993253723391
326.0,33.725676578787436
327.0,33.731467477890845
328.0,33.73730499290389
329.0,33.743188879752445
330.0,33.749118892074065
331.0,33.75509478135889
332.0,33.76111629708602
333.0,33.76718318685545
334.0,33.77329519651565
335.0,33.77945207028715
336.0,33.78565355088188
337.0,33.791899379618734
338.0,33.79818929653534
339.0,33.804523040496036
340.0,33.810900349296396
341.0,33.817320959764295
342.0,33.823784607857434
343.0,33.8302910287579
344.0,33.83683995696328
345.0,33.843431126374924
346.0,33.85006427038306
347.0,33.85673912194924
348.0,33.863455413685685
349.0,33.87021287793222
350.0,33.877011246830435
351.0,33.88385025239522
352.0,33.89072962658395
353.0,33.89764910136326
354.0,33.90460840877334
355.0,33.91160728099018
356.0,33.91864545038543
357.0,33.92572264958427
358.0,33.9328386115211
359.0,33.939993069493276
360.0,33.947185757213006
361.0,33.954416408857114
362.0,33.96168475911523
363.0,33.968990543235996
364.0,33.97633349707174
365.0,33.983713357121296
366.0,33.991129860571334
367.0,33.998582745336044
368.0,34.00607175009536
369.0,34.0135966143316
370.0,34.02115707836477
371.0,34.02875288338647
372.0,34.036383771492304
373.0,34.04404948571322
374.0,34.05174977004533
375.0,34.05948436947872
376.0,34.06725303002483
377.0,34.075055498742934
378.0,34.08289152376521
379.0,34.090760854321026
380.0,34.09866324075982
381.0,34.106598434573314
382.0,34.11456618841644
383.0,34.12256625612744
384.0,34.130598392747004
385.0,34.1386623545365
386.0,34.14675789899533
387.0,34.154884784877396
388.0,34.163042772206744
389.0,34.17123162229248
390.0,34.17945109774281
391.0,34.18770096247834
392.0,34.1959809817447
393.0,34.20429092212441
394.0,34.21263055154809
395.0,34.22099963930495
396.0,34.22939795605271
397.0,34.2378252738268
398.0,34.246281366049054
399.0,34.25476600753574
400.0,34.26327897450505
401.0,34.27182004458403
402.0,34.280388996815006
403.0,34.28898561166144
404.0,34.29760967101328
405.0,34.306260958191935
406.0,34.31493925795462
407.0,34.323644356498356
408.0,34.33237604146351
409.0,34.34113410193688
410.0,34.34991832845433
411.0,34.358728513003165
412.0,34.36756444902397
413.0,34.376425931412165
414.0,34.38531275651913
415.0,34.39422472215302
416.0,34.40316162757929
417.0,34.41212327352074
418.0,34.421109462157474
419.0,34.43011999712626
420.0,34.4391546835199
421.0,34.44821332788606
422.0,34.45729573822599
423.0,34.46640172399288
