temperature,Q,Qdif,Qtwice_dif
200.0,97.41893933089254,144.39594243866148,361.24030382688
201.0,98.14182396680101,145.48156481008755,363.97301449069755
202.0,98.86651573643177,146.56998513294263,366.713165591285
203.0,99.59301059694221,147.66119870949726,369.4607567598456
204.0,100.32130454222923,148.75520093341194,372.21578806905666
205.0,101.05139360265807,149.85198728965426,374.9782600321949
206.0,101.78327384479643,150.95155335442328,377.7481736021235
207.0,102.51694137115287,152.0538947950627,380.52553017017084
208.0,103.25239231992612,153.15900736997887,383.3103315648804
209.0,103.9896228647544,154.26688692854842,386.1025800506596
210.0,104.72862921447351,155.37752941102474,388.9022783262843
211.0,105.46940761288042,156.49093084844284,391.70942952331706
212.0,106.21195433850016,157.6070873625091,394.52403720437803
213.0,106.95626570435745,158.72599516549633,397.346105361327
214.0,107.70233805775713,159.8476505601314,400.1756384133237
215.0,108.45016778006394,160.9720499394691,403.01264120476304
216.0,109.19975128648979,162.0991897867683,405.8571190031242
217.0,109.9510850258848,163.22906667535747,408.70907749669243
218.0,110.7041654805326,164.36167726849231,411.5685227921811
219.0,111.45898916595021,165.49701831921087,414.4354614122443
220.0,112.21555263068933,166.6350866701734,417.30990029289313
221.0,112.97385245614393,167.77587925350343,420.19184678080507
222.0,113.7338852563622,168.91939309061206,423.08130863053503
223.0,114.49564767785793,170.0656252920227,425.9782940016295
224.0,115.25913639942885,171.214573057183,428.88281145564423
225.0,116.02434813197829,172.3662336742637,431.79486995307576
226.0,116.79127961833662,173.52060451995806,434.7144788501861
227.0,117.55992763308858,174.67768305927268,437.6416478957656
228.0,118.33028898240265,175.83746684529282,440.57638722778006
229.0,119.1023605038649,176.99995351896425,443.51870736995846
230.0,119.8761390663098,178.16514080884488,446.468619228288
231.0,120.65162156966127,179.3330265308611,449.4261340874274
232.0,121.42880494477043,180.5036085880403,452.39126360705916
233.0,122.20768615325714,181.67688497025478,455.36401981815595
234.0,122.98826218735647,182.85285375393593,458.3444151191784
