temperature,heat_capacity
200.0,33.350526877688274
201.0,33.35139288321352
202.0,33.35227826591882
203.0,33.35318345388835
204.0,33.35410887692445
205.0,33.3550549663462
206.0,33.356022154783616
207.0,33.35701087597464
208.0,33.35802156455969
209.0,33.35905465587935
210.0,33.360110585769704
211.0,33.36118979036028
212.0,33.362292705872584
213.0,33.36341976841932
214.0,33.364571413804846
215.0,33.36574807732755
216.0,33.36695019358389
217.0,33.36817819627378
218.0,33.3694325180086
219.0,33.370713590120005
220.0,33.37202184247321
221.0,33.37335770328032
222.0,33.37472159891827
223.0,33.376113953747435
224.0,33.377535189934
225.0,33.37898572727674
226.0,33.38046598303349
227.0,33.38197637175266
228.0,33.38351730510935
229.0,33.38508919174114
230.0,33.386692437090474
231.0,33.388327443247896
232.0,33.38999460880238
233.0,33.391694328690335
234.0,33.393426994052525
235.0,33.395192992091765
236.0,33.396992705936675
237.0,33.39882651450683
238.0,33.40069479238383
239.0,33.402597909684516
240.0,33.404536231939254
241.0,33.40651011997355
242.0,33.408519929792874
243.0,33.410566012473225
244.0,33.41264871405404
245.0,33.414768375435166
246.0,33.41692533227869
247.0,33.419119914913686
248.0,33.421352448245656
249.0,33.42362325166921
250.0,33.42593263898571
251.0,33.42828091832196
252.0,33.43066839205837
253.0,33.433095356754265
254.0,33.43556210308271
255.0,33.43806891576436
256.0,33.44061607350887
257.0,33.44320384895839
258.0,33.44583250863483
259.0,33.448502312890746
260.0,33.45121351586387
261.0,33.45396636543637
262.0,33.456761103194836
263.0,33.459597964397794
264.0,33.462477177942525
265.0,33.46539896633834
266.0,33.468363545681854
267.0,33.471371125635834
268.0,33.474421909411475
269.0,33.47751609375311
270.0,33.48065386892719
271.0,33.483835418714136
272.0,33.487060920402136
273.0,33.49033054478531
274.0,33.493644456164006
275.0,33.49700281234803
276.0,33.50040576466333
277.0,33.50385345796026
278.0,33.507346030625364
279.0,33.51088361459616
280.0,33.51446633537782
281.0,33.51809431206068
282.0,33.52176765734535
283.0,33.52548647756389
284.0,33.5292508727074
285.0,33.53306093645508
286.0,33.53691675620456
287.0,33.54081841310555
288.0,33.54476598209406
289.0,33.5487595319296
290.0,33.552799125236
291.0,33.556884818540055
292.0,33.56101666231568
293.0,33.565194701028375
294.0,33.56941897318126
295.0,33.5736895113629
