temperature,heat_capacity
200.0,33.3493052996386
201.0,33.35189489006108
202.0,33.35437865484848
203.0,33.35676308714308
204.0,33.35905444145896
205.0,33.36125874228303
206.0,33.36338179234462
207.0,33.36542918056778
208.0,33.367406289719455
209.0,33.36931830376618
210.0,33.37117021495161
211.0,33.372966830606074
212.0,33.374712779699536
213.0,33.37641251914826
214.0,33.37807033988537
215.0,33.37969037270483
216.0,33.381276593888096
217.0,33.38283283062212
218.0,33.38436276621729
219.0,33.3858699451331
220.0,33.38735777781932
221.0,33.38882954538014
222.0,33.390288404068016
223.0,33.39173738961422
224.0,33.39317942140237
225.0,33.3946173064911
226.0,33.396053743491834
227.0,33.39749132630725
228.0,33.398932547735804
229.0,33.40037980294758
230.0,33.4018353928364
231.0,33.40330152725273
232.0,33.404780328122435
233.0,33.40627383245513
234.0,33.40778399524677
235.0,33.409312692280274
236.0,33.41086172282809
237.0,33.41243281226038
238.0,33.414027614562286
239.0,33.41564771476391
240.0,33.417294631285884
241.0,33.41896981820406
242.0,33.42067466743595
243.0,33.42241051085205
244.0,33.424178622314834
245.0,33.42598021964769
246.0,33.42781646653694
247.0,33.42968847436882
248.0,33.43159730400417
249.0,33.43354396749291
250.0,33.4355294297305
251.0,33.43755461005845
252.0,33.43962038381097
253.0,33.44172758380968
254.0,33.443877001808
255.0,33.44606938988736
256.0,33.448305461806754
257.0,33.450585894307196
258.0,33.45291132837287
259.0,33.4552823704504
260.0,33.45769959362755
261.0,33.460163538773216
262.0,33.46267471563945
263.0,33.465233603927416
264.0,33.467840654318046
265.0,33.47049628946901
266.0,33.47320090497892
267.0,33.47595487031994
268.0,33.47875852973989
269.0,33.48161220313504
270.0,33.48451618689421
271.0,33.48747075471567
272.0,33.49047615839731
273.0,33.493532628601166
274.0,33.49664037559337
275.0,33.499799589959885
276.0,33.5030104432992
277.0,33.506273088892826
278.0,33.50958766235386
279.0,33.51295428225495
280.0,33.516373050735865
281.0,33.519844054091614
282.0,33.523367363341706
283.0,33.526943034781084
284.0,33.53057111051341
285.0,33.53425161896737
286.0,33.5379845753963
287.0,33.54176998236204
288.0,33.545607830203124
289.0,33.549498097488176
290.0,33.553440751454815
291.0,33.55743574843444
292.0,33.56148303426371
293.0,33.56558254468275
294.0,33.569734205720664
295.0,33.573937934068915
296.0,33.57819363744274
297.0,33.58250121493106
298.0,33.586860557335314
299.0,33.59127154749749
300.0,33.595734060617744
301.0,33.600247964561916
302.0,33.60481312015927
303.0,33.60942938149081
304.0,33.61409659616835
305.0,33.61881460560485
306.0,33.6235832452759
307.0,33.62840234497329
308.0,33.63327172905005
309.0,33.63819121665808
310.0,33.64316062197794
311.0,33.6481797544415
312.0,33.653248418947385
313.0,33.65836641606955
314.0,33.66353354225929
315.0,33.668749590040626
316.0,33.674014348199684
317.0,33.679327601967685
318.0,33.68468913319843
319.0,33.69009872053977
320.0,33.6955561395998
321.0,33.701061163107546
322.0,33.706613561068586
323.0,33.7122131009156
324.0,33.717859547654
325.0,33.72355266400303
326.0,33.72929221053203
327.0,33.735077945792504
328.0,33.74090962644574
329.0,33.746787007386345
330.0,33.75270984186176
331.0,33.7586778815877
332.0,33.76469087686005
333.0,33.77074857666287
334.0,33.77685072877295
335.0,33.782997079860856
336.0,33.78918737558863
337.0,33.79542136070427
338.0,33.80169877913296
339.0,33.80801937406542
340.0,33.814382888043085
341.0,33.82078906304056
342.0,33.82723764054518
343.0,33.833728361633966
344.0,33.84026096704793
345.0,33.846835197263715
346.0,33.85345079256296
347.0,33.860107493099136
348.0,33.86680503896213
349.0,33.873543170240524
350.0,33.88032162708174
351.0,33.887140149750074
352.0,33.89399847868254
353.0,33.90089635454302
354.0,33.907833518274096
355.0,33.91480971114735
356.0,33.92182467481163
357.0,33.92887815133966
358.0,33.93596988327287
359.0,33.94309961366467
360.0,33.950267086122
361.0,33.95747204484532
362.0,33.96471423466729
